,ida_datenum,profdist2idaRMW,profdist2idaKM
0,738026.25,19.104236894206142,3184.2942055262797
1,738026.375,18.497857232281493,3083.2228434766794
2,738026.5,17.90935686649043,2985.131602506625
3,738026.625,17.344850166395236,2891.039625734758
4,738026.75,16.789363762105047,2798.4511518676695
5,738026.875,16.22816845815396,2704.911118605102
6,738027.0,15.662579178591804,2610.638697487682
7,738027.125,14.299587323438288,2515.8693936857326
8,738027.25,13.08338593835114,2423.0430757826316
9,738027.375,13.234720187318894,2328.516669756886
10,738027.5,13.46941257768006,2245.0816884477126
11,738027.625,13.882598289011055,2185.3986226561206
12,738027.75,14.413909643030086,2135.5648527113376
13,738027.875,14.073471124524438,2085.125481809541
14,738028.0,13.670623783830834,2025.4396198123763
15,738028.125,13.123415963603916,1944.3653091675562
16,738028.25,12.513783965847265,1854.0422323799307
17,738028.375,13.613836622065493,1764.8977796845707
18,738028.5,15.145833827586499,1683.0050549214118
19,738028.625,15.820654938735135,1611.491912059561
20,738028.75,16.772687208368332,1553.1508354949078
21,738028.875,16.362478261102016,1515.1654869780468
22,738029.0,15.883117853754976,1470.776713257711
23,738029.125,16.62249278406846,1385.3185486242655
24,738029.25,17.50803834403952,1296.9954805264476
25,738029.375,18.995715370372054,1231.3022703075167
26,738029.5,20.957518559102347,1164.3997311437265
27,738029.625,23.357554225101257,1081.4547606221884
28,738029.75,26.941931733107833,997.9291513943141
29,738029.875,25.065476582286692,928.4252526078991
30,738030.0,23.201983304477213,859.4014615978359
31,738030.125,21.017954120517494,778.505020623968
32,738030.25,18.78763861673675,695.8941343639292
33,738030.375,16.80184313511232,622.3402697245604
34,738030.5,14.873426050771496,550.9117009205762
35,738030.625,12.77577589130485,473.21473901393165
36,738030.75,10.596930469694346,392.5103045974786
37,738030.875,8.508229007992185,315.1448024560305
38,738031.0,6.457093217556984,239.1707327783107
39,738031.125,5.141884941462182,161.88710549699536
40,738031.25,3.153257573944897,87.59749540418925
41,738031.375,0.8694748730703307,19.32320957911503
42,738031.5,2.5792984605867018,47.76860749006571
43,738031.625,5.649128475057181,104.621859358059
44,738031.75,8.289852067755872,153.52806029483875
45,738031.875,10.491247740706669,194.29790815788752
46,738032.0,12.485331774788854,231.22834446908956
47,738032.125,7.265898735601133,269.12888916666594
48,738032.25,5.553840792028282,308.5713944050914
49,738032.375,5.4811005303604,355.2849363779612
50,738032.5,5.40320331978616,400.2693019297587
51,738032.625,3.911223605284239,434.61516701918464
52,738032.75,3.1477678452614737,466.37328395393996
53,738032.875,1.648507795926517,503.75101227922517
54,738033.0,1.1767523543064289,544.8363400438766
55,738033.125,1.3795682182609772,587.6408782504459
56,738033.25,1.6235286900736288,631.4227781434357
57,738033.375,2.9351714918616563,679.4922003659734
58,738033.5,9.802918854065554,726.2002287091763
59,738033.625,10.308526410974439,763.6556365249864
60,738033.75,10.867539106943875,805.0672970424023
61,738033.875,4.8893338583808506,860.2293990435268
62,738034.0,3.3415903506831217,928.2937994197713
63,738034.125,2.5893098298626436,1007.0343790301794
64,738034.25,2.1924685510722446,1096.3219742781653
65,738034.375,2.24420049161699,1184.5339034852798
66,738034.5,2.326658425080941,1292.6914209749707
67,738034.625,3.059935785474512,1445.0852740481932
68,738034.75,4.113010764233488,1599.6321464256882
69,738034.875,5.531520722719854,1710.8108552056874
70,738035.0,7.828001722170506,1812.1823986824722
71,738035.125,7.595633272328128,1927.194456388182
72,738035.25,7.388017000836129,2052.391122832277
